Adipocyte_ID,Area_Pixels,Area_Microns_Squared,Centroid_X,Centroid_Y,Grid_ID,MPP_Used,Closest_Tumour_ID,Distance_To_Closest_Tumour,Distance_Bin
212,21607.0,5277.15625948,7699.219465913824,6652.232933771463,17,0.4942,,,
213,14770.0,3607.3308627999995,6609.956330399458,7349.46086662153,23,0.4942,,,
214,15470.0,3778.2944107999997,7713.412734324499,6847.5650937298,24,0.4942,,,
215,18524.0,4524.183947359999,6642.283901965018,7892.853487367739,23,0.4942,,,
216,12719.0,3106.4076671599996,5226.546741095998,6828.327934586052,23,0.4942,,,
217,14966.0,3655.2006562399997,6110.787384738741,7391.143124415342,23,0.4942,,,
218,12369.0,3020.9258931599998,7590.860376748323,6774.9148678146985,24,0.4942,,,
219,23358.0,5704.809363119999,6532.410266289922,7470.997217227502,23,0.4942,,,
220,7877.0,1923.8283822799997,7076.093055731878,6576.443189031357,17,0.4942,,,
221,10691.0,2611.10184524,5446.066878683005,7070.781311383406,23,0.4942,,,
222,10998.0,2686.0815727199997,6186.833878887071,8007.7197672304055,23,0.4942,,,
223,12531.0,3060.4917428399995,7073.045487191765,6698.211954353204,24,0.4942,,,
224,15951.0,3895.7707916399995,6169.2887593254345,7545.958748667795,23,0.4942,,,
225,11284.0,2755.9323937599997,7035.602534562212,6830.246455157746,24,0.4942,,,
226,15119.0,3692.5684031599994,5856.411799722204,6425.571400224882,16,0.4942,,,
227,10700.0,2613.299948,6811.181028037383,7406.064672897196,24,0.4942,,,
228,14299.0,3492.2968183599996,5553.693125393384,6817.886285754249,23,0.4942,,,
229,8754.0,2138.02128456,7682.78661183459,6963.997829563628,24,0.4942,,,
230,10441.0,2550.04343524,6110.557800976918,7907.300067043387,23,0.4942,,,
231,6161.0,1504.7234560399997,6117.954552832332,7650.748092842071,23,0.4942,,,
232,20301.0,4958.187125639999,6575.193980592089,8064.794788434067,23,0.4942,,,
233,17479.0,4268.9597935599995,5872.003489902168,6586.235883059671,16,0.4942,,,
234,9225.0,2253.055329,7222.875230352303,6425.952953929539,17,0.4942,,,
235,12635.0,3085.8920413999995,5699.253106450336,6471.959635931935,16,0.4942,,,
236,19115.0,4668.526028599999,6461.825948208213,7319.219775045775,23,0.4942,,,
237,5112.0,1248.52236768,7246.800078247261,6684.178403755868,24,0.4942,,,
238,9597.0,2343.91024308,5651.046368656872,6589.285922684172,16,0.4942,,,
239,10586.0,2585.45731304,6685.438409219724,7446.013791800491,24,0.4942,,,
240,11832.0,2889.7724284799997,5847.288624070317,7046.564232589588,23,0.4942,,,
241,17109.0,4178.59334676,6482.449237243556,7781.143550178269,23,0.4942,,,
242,11190.0,2732.9744315999997,5223.615728328865,6433.570956210902,16,0.4942,,,
243,8021.0,1958.9980264399999,7466.50230644558,7022.223288866725,24,0.4942,,,
244,5523.0,1348.90239372,7497.282274126381,6849.7396342567445,24,0.4942,,,
245,3815.0,931.7513366,5345.852162516383,7014.6256880733945,23,0.4942,,,
246,14256.0,3481.7947718399996,6726.912738496072,7314.088173400673,24,0.4942,,,
247,14774.0,3608.3077973599998,7181.5504264248,6775.356775416271,24,0.4942,,,
248,22443.0,5481.33558252,5777.921712783496,6830.5152163258035,23,0.4942,,,
